78,9.79119E+12,최신제어시스템-제13판,Richard C. Dorf ,퍼스트북 ,전공
79,9.78896E+12,친절한 회계원리,"오융락, 오웅락",탐진,전공
80,9.79116E+12,컴퓨터 구조와 원리 3.0,신종홍,한빛미디어,기타
81,9.79119E+12,컴퓨터 네트워킹 하향식 접근,"James F. Kurose, Keith W. Ross",퍼스트북,기타
82,9.79119E+12,"파이썬 알고리즘 인터뷰 (95가지 알고리즘 문제 풀이로 완성하는 코딩 테스트, 2021 세종도서 학술부문)",박상길,책만,프로그래밍
83,9.7889E+12,프로이트의 의자 (숨겨진 나와 마주하는 정신분석 이야기),정도언,웅진지식하우스 ,기타
84,9.78899E+12,프로젝트 기반의 공학설계입문 (수정2판),Clive L. Dym,ITC,전공
85,9.79116E+12,프리미어 스티커 페인팅북 명화,베이직콘텐츠랩,베이직북스,기타
86,9.79119E+12,하기 싫은 일을 하는 힘,홍주현 ,사우,기타
87,9.78896E+12,현대 일본어 문법,권승림,제이앤씨(J&C) ,기타
88,9.79116E+12,혼자 공부하는 SQL (1:1 과외하듯 배우는 데이터베이스 자습서),우재남,한빛미디어,프로그래밍
89,9.79116E+12,혼자 공부하는 머신러닝 + 딥러닝 (1:1 과외하듯 배우는 인공지능 자습서),박해선,한빛미디어,프로그래밍
90,9.79116E+12,혼자 공부하는 자바 (JAVA 8 & 11 지원/무료 동영상 강의 제공),신용권,한빛미디어,프로그래밍
91,9.78896E+12,확률 랜덤변수 및 랜덤신호 원리,Peebles,McGraw-Hill,전공
92,9.79113E+12,회로이론,"Charles K. Alexander, Matthew N. O. Sadiku",한국맥그로힐(McGraw-Hill KOREA),전공
93,9.79116E+12,회로해석 (PSpice를 이용한 아날로그 / 디지털),배준경,문운당,전공
